ID,Subject,Session,Optode,Chroma,Condition,Value
4,02,02,S5_D2,hbo,Noise,6.368060685342272
4,02,02,S5_D3,hbo,Noise,1.3710409447985688
4,02,02,S5_D4,hbo,Noise,4.235050446583674
4,02,02,S5_D5,hbo,Noise,1.8615504064172936
4,02,02,S10_D9,hbo,Noise,5.802610716167506
4,02,02,S10_D10,hbo,Noise,6.893738749114275
4,02,02,S10_D11,hbo,Noise,4.520211430875442
4,02,02,S10_D12,hbo,Noise,6.563480636393533
4,02,02,S11_D11,hbo,Noise,2.7626001862109684
4,02,02,S11_D12,hbo,Noise,1.955403058366724
4,02,02,S7_D7,hbo,Noise,1.6246570898515993
4,02,02,S9_D8,hbo,Noise,1.3068203475988407
4,02,02,S7_D8,hbo,Noise,3.384576793746394
4,02,02,S1_D1,hbo,Noise,0.1320088464950548
4,02,02,S2_D1,hbo,Noise,0.8083090750379847
4,02,02,S3_D1,hbo,Noise,0.5952109785296632
4,02,02,S3_D2,hbo,Noise,1.0589970913703854
4,02,02,S12_D1,hbo,Noise,2.7981954034456864
4,02,02,S4_D2,hbo,Speech,0.400173798240125
4,02,02,S4_D3,hbo,Speech,2.525900391513975
4,02,02,S5_D2,hbo,Speech,3.564049304096056
4,02,02,S5_D3,hbo,Speech,1.1804268046093234
4,02,02,S5_D4,hbo,Speech,1.8393702189012076
4,02,02,S5_D5,hbo,Speech,0.5801314209567363
4,02,02,S10_D9,hbo,Speech,4.863800371167404
4,02,02,S10_D10,hbo,Speech,5.35718741576401
4,02,02,S10_D11,hbo,Speech,4.758949204475514
4,02,02,S10_D12,hbo,Speech,5.454695260991148
4,02,02,S11_D11,hbo,Speech,3.10039052198467
4,02,02,S11_D12,hbo,Speech,2.259945412940228
4,02,02,S7_D7,hbo,Speech,0.21094399128558555
4,02,02,S9_D8,hbo,Speech,-0.039929738377307414
4,02,02,S7_D8,hbo,Speech,0.13657846556742287
4,02,02,S1_D1,hbo,Speech,0.21346041076851965
4,02,02,S2_D1,hbo,Speech,0.3180287693658044
4,02,02,S3_D1,hbo,Speech,0.6527332912599593
4,02,02,S3_D2,hbo,Speech,-0.7395197325781904
4,02,02,S12_D1,hbo,Speech,2.326316657747215
5,03,01,S4_D2,hbo,Control,-0.828058695083496
5,03,01,S4_D3,hbo,Control,-1.1356064840724662
5,03,01,S5_D2,hbo,Control,-0.19645930887345123
5,03,01,S5_D3,hbo,Control,-0.7874151641709505
5,03,01,S5_D4,hbo,Control,-0.5885736676861588
5,03,01,S5_D5,hbo,Control,-1.2754251468744056
5,03,01,S10_D9,hbo,Control,-0.05284273350860564
5,03,01,S10_D10,hbo,Control,0.4122885483175292
5,03,01,S10_D11,hbo,Control,-0.19647753656119504
5,03,01,S10_D12,hbo,Control,-0.6119514028246749
5,03,01,S11_D11,hbo,Control,-0.3061208724195495
5,03,01,S11_D12,hbo,Control,-0.05262545776594147
5,03,01,S6_D6,hbo,Control,-0.4800716262321071
5,03,01,S6_D8,hbo,Control,0.06327814597191121
5,03,01,S7_D7,hbo,Control,-0.12731017100948488
5,03,01,S8_D7,hbo,Control,-0.7531550452719129
5,03,01,S8_D8,hbo,Control,0.37852798796766607
5,03,01,S9_D8,hbo,Control,-0.026812856441487037
